Time	Read_ID	Status
2023-10-29 20:03:01.274847	18226860-abae-44d9-a369-c9199f91741c	loaded.
2023-10-29 20:03:01.490881	6797865a-12bf-4bda-8d70-e3b2c3cd0fa8	loaded.
2023-10-29 20:03:01.675983	d6b7ad03-f5a3-4154-aeac-9ff01d3d696e	loaded.
2023-10-29 20:03:01.676172	6963f60c-6eba-49a2-afa7-556d953ff57f	loaded.
2023-10-29 20:03:02.071871	33b6216f-6282-4501-a20c-c1059e59c0b0	loaded.
2023-10-29 20:03:02.071973	8bab5494-0f91-4d70-abf8-72938c5a6bd4	loaded.
2023-10-29 20:03:02.072077	bf45769f-3865-412b-abb1-40d2c4599232	loaded.
2023-10-29 20:03:02.306473	44a7e02e-aa45-47dd-bdba-e29a61255e6a	loaded.
2023-10-29 20:03:02.346303	ebca8176-a8a6-4b91-8f5d-55ff4a420953	loaded.
2023-10-29 20:03:02.925756	7a1aebb6-b27e-4999-b2bd-fb298106c9b5	loaded.
2023-10-29 20:03:02.925845	f81b170c-d821-47cc-9133-5a55fc936b0f	loaded.
2023-10-29 20:03:03.267329	d98c9e02-113b-46dd-a22d-ec9a07b4b681	loaded.
2023-10-29 20:03:03.309029	ae1d4521-00f4-4413-87a1-0200381eca23	loaded.
2023-10-29 20:03:03.317097	bfc1d36a-d0d2-4d3f-974d-614c0ca0ba6a	loaded.
2023-10-29 20:03:03.317203	81db919d-df57-4ab2-b946-8f8bb314f5eb	loaded.
2023-10-29 20:03:03.767320	38bdb7c8-528f-4a26-9292-faf503053a2d	loaded.
2023-10-29 20:03:04.236661	0d9181bc-008f-4662-990f-07cb76644c39	loaded.
2023-10-29 20:03:04.236806	8ee53b54-2f7c-4966-aa2b-e861ad944119	loaded.
2023-10-29 20:03:04.452224	4194771d-b95e-4670-ab6c-2d4642ce09ac	loaded.
2023-10-29 20:03:04.654631	051c8c0e-2f83-44ae-a855-56e46d5a8e2e	loaded.
2023-10-29 20:03:04.720846	9ef0abc6-3d1d-492e-a48d-74e57813c83a	loaded.
2023-10-29 20:03:04.967903	cb09eabc-63a7-48c4-8291-9a20fb4d1a35	loaded.
2023-10-29 20:03:04.979326	84d02cf9-e40c-44f8-a028-3b40f9c6e1a3	loaded.
2023-10-29 20:03:05.461934	3c9910ac-dba2-4163-9d66-b6409681babf	loaded.
2023-10-29 20:03:05.560655	e1237fbe-346f-441a-a94b-c37ba09fc4c1	loaded.
2023-10-29 20:03:06.138175	370ee9aa-7c3e-41d3-89ea-61e34cf25b1b	loaded.
2023-10-29 20:03:06.330197	7643217e-bdb8-45cf-a4bb-603f79e2bb64	loaded.
2023-10-29 20:03:07.688601	6c1571e1-e3c8-435a-b111-d837e714586d	loaded.
2023-10-29 20:03:07.688773	65a36616-8805-4fb4-9914-e9adc1e2c106	loaded.
2023-10-29 20:03:08.133113	681bac54-ee27-4ec4-ac0b-a7e5c6f0779a	loaded.
2023-10-29 20:03:08.310740	e24732fb-265d-4e12-8b79-71331395df0c	loaded.
2023-10-29 20:03:08.310907	5feefebe-c7ed-43ec-be44-b9f66290cd7e	loaded.
2023-10-29 20:03:08.746734	38a92307-a445-4435-aebf-7019ef181dc2	loaded.
2023-10-29 20:03:09.865489	0b0d28a6-420d-4d99-8cdf-37e59ab6868a	loaded.
2023-10-29 20:03:09.865592	9220efdc-ee1c-4775-81bf-39846a202ae8	loaded.
2023-10-29 20:03:09.865728	0e0cd01d-0ee1-42c5-ad16-93c813f7581d	loaded.
2023-10-29 20:03:10.010504	4c0809f7-76de-41ad-b283-8b45562e8fe0	loaded.
2023-10-29 20:03:10.746678	a14a5dd0-50d9-441a-92ac-d31a455f7bfd	loaded.
2023-10-29 20:03:10.746782	ab963d95-2e8b-4f35-a66a-2ab5a2653298	loaded.
2023-10-29 20:03:11.060932	91f6fdcf-c8be-4684-8170-adacffcb19c3	loaded.
2023-10-29 20:03:11.125772	855ca6e4-655d-4dc2-800b-7117cd98c0e4	loaded.
2023-10-29 20:03:11.539718	39ebe307-c412-44b0-bb3a-9d233ce3ca09	loaded.
2023-10-29 20:03:11.939296	42edda0a-9b38-4377-9da8-faf043a659b9	loaded.
2023-10-29 20:03:11.939409	42b46a5b-23d7-4b38-9c97-4945a4b15035	loaded.
2023-10-29 20:03:11.939479	ee44d815-be19-4bf7-9922-51f9554aeb06	loaded.
2023-10-29 20:03:11.939541	0f8e1aee-60dd-485f-8a74-a760db1ca56c	loaded.
2023-10-29 20:03:12.272648	29f59401-0142-4a61-a58b-485a5245c1b4	loaded.
2023-10-29 20:03:12.413500	453786cf-9d57-4338-b285-182c0a39e826	loaded.
2023-10-29 20:03:12.472048	71a4839c-809f-4e72-8654-ec14c038f99a	loaded.
2023-10-29 20:03:13.091913	d5dec102-9943-4515-b5a4-666e2ca7322d	loaded.
2023-10-29 20:03:13.258663	5088dac3-ba69-4c97-bffe-f4d4fc33d7d4	loaded.
2023-10-29 20:03:13.258781	f8571fff-d7f2-477e-8b60-1f3311eaa80e	loaded.
2023-10-29 20:03:13.416134	b577230f-7b29-406c-b3ba-e96a22e47124	loaded.
2023-10-29 20:03:13.838010	43161001-384c-4538-a7ac-ed7d43560f8b	loaded.
2023-10-29 20:03:14.111767	ae77b4c8-4781-4701-ad08-e7dc0e68c215	loaded.
2023-10-29 20:03:14.111865	07837f8a-b9cb-4d44-9b67-718d50760d74	loaded.
2023-10-29 20:03:14.453796	6e388029-8a9b-4e5f-8097-d444aa0d6184	loaded.
2023-10-29 20:03:14.453954	3eea240d-86d5-4e4b-97d9-966e2c76296a	loaded.
2023-10-29 20:03:14.454072	e2e0dbe3-b0e9-440e-a14f-aedab0ce31ed	loaded.
2023-10-29 20:03:14.748782	8c8bcadf-4890-4ed3-9666-4ca21ce6dd4a	loaded.
2023-10-29 20:03:15.184105	d1e3cbcd-d837-4276-9c09-6e9980f61f5e	loaded.
2023-10-29 20:03:15.990674	6eb6d833-29db-41e9-8128-c11cf198750f	loaded.
2023-10-29 20:03:16.497945	d1f8ba64-d78d-4524-ae0e-ebf0ab237e30	loaded.
2023-10-29 20:03:16.498076	f1e5ca5e-d1f8-4203-816a-6ae68e59194d	loaded.
